"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000228467486364504,0.356251026994028,0.347,0.15,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000045627241701855,"7","FBXO6"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000288689537757471,0.32116474207601,0.477,0.224,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000576541875855446,"7","ITPA"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301117365197556,0.316561477641751,0.683,0.36,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000601361490036039,"7","PPM1G"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000313901424154028,0.637504599586482,0.31,0.133,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000062689253417801,"7","ADAM15"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000319427617771087,0.537188446283088,0.261,0.102,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000637928895450638,"7","MAN2B1"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000556012135386517,0.44751042797053,0.317,0.134,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111041183558041,"7","PATL1"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000694903000493089,0.277361776218238,0.914,0.596,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000138779078228475,"7","EIF4G2"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000771889692371825,0.412746122518759,0.344,0.148,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000154154090463577,"7","CHCHD3"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000175779522121407,0.44934330070864,0.301,0.125,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000351049283628662,"7","NPEPL1"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000366020062231432,0.368778045556946,0.385,0.173,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000730978666282392,"7","CUL4A"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000556324144600153,0.319651364651796,0.554,0.272,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111103494918097,"7","FDX1"
